arm	seg	side	turn_id	addr	tier	reason	rank
C	E60	old	12846	S15069/T1336	1	release	1
C	E60	old	12406	S15069/T998	1	release	2
C	E60	old	12760	S15069/T1266	1	release	3
C	E60	old	12481	S15069/T1056	1	release	4
C	E60	old	12942	S15069/T1406	1	release	5
C	E60	old	12759	S15069/T1265	1	release	6
C	E60	old	12412	S15069/T1001	1	release	7
C	E60	old	13119	S15069/T1470	1	release	8
C	E60	old	13118	S15069/T1469	1	release	9
C	E60	old	13200	S15069/T1515	1	release	10
C	E60	old	12897	S21460/T151	1	release	11
C	E60	old	8253	S15069/T44	2	declares-index	12
C	E60	old	12554	S15069/T1124	2	declares-index	13
C	E60	old	12483	S15069/T1058	2	declares-index	14
C	E60	old	12313	S15069/T939	2	declares-index	15
C	E60	old	10049	S15069/T171	2	declares-index	16
C	E60	old	12321	S15069/T946	2	declares-index	17
C	E60	old	12568	S15069/T1135	2	declares-index	18
C	E60	old	12538	S15069/T1111	2	declares-index	19
C	E60	old	12445	S15069/T1029	2	declares-index	20
C	E60	old	10814	S15069/T414	2	declares-index	21
C	E60	old	8232	S15069/T30	2	declares-index	22
C	E60	old	13196	S15069/T1513	2	declares-index	23
C	E60	old	13108	S15069/T1465	2	declares-index	24
C	E60	old	12501	S15069/T1076	2	declares-index	25
C	E60	old	12451	S15069/T1035	2	declares-index	26
C	E60	old	8294	S15069/T66	2	declares-index	27
C	E60	old	8214	S15069/T17	2	declares-index	28
C	E60	old	13385	S21460/T202	2	declares-index	29
C	E60	old	13198	S15069/T1514	2	declares-index	30
C	E60	old	13057	S15069/T1446	2	declares-index	31
C	E60	old	13010	S15069/T1432	2	declares-index	32
C	E60	old	12384	S15069/T984	2	declares-index	33
C	E60	old	12378	S15069/T981	2	declares-index	34
C	E60	old	12300	S15069/T929	2	declares-index	35
C	E60	recent	13660	S15069/T1842	2	declares-index	1
C	E60	recent	13532	S15069/T1739	2	declares-index	2
C	E60	recent	13674	S15069/T1856	2	declares-index	3
C	E60	recent	13708	S15069/T1888	2	declares-index	4
C	E60	recent	13721	S15069/T1901	2	declares-index	5
C	E60	recent	13682	S15069/T1864	2	declares-index	6
C	E60	recent	13605	S15069/T1800	2	declares-index	7
C	E60	recent	13580	S15069/T1779	2	declares-index	8
C	E60	recent	13582	S15069/T1781	2	declares-index	9
C	E60	recent	13617	S15069/T1812	3	type-decision	10
C	E60	recent	13600	S15069/T1795	3	type-decision	11
C	E60	recent	13720	S15069/T1900	3	type-decision	12
C	E60	recent	13719	S15069/T1899	3	type-decision	13
C	E60	recent	13672	S15069/T1854	3	type-decision	14
C	E60	recent	13670	S15069/T1852	3	type-decision	15
